timestamp,x,y,yaw
1779877159.635617495,0.185973,17.579184,-1.198751
1779877159.775663137,0.123128,17.572147,-1.190636
1779877160.295477152,-0.078071,17.545453,-1.166121
1779877160.315608501,-0.078071,17.545453,-1.166121
1779877160.995464802,-0.350321,17.522382,-1.134367
1779877161.115338564,-0.382475,17.522821,-1.130893
1779877161.275361300,-0.429855,17.524246,-1.125737
1779877161.735302925,-0.488612,17.531956,-1.118521
1779877161.835184097,-0.475875,17.537148,-1.118970
1779877161.935263157,-0.438086,17.541543,-1.121719
1779877162.115229130,-0.364064,17.560927,-1.126125
1779877162.575145483,73.990861,-136.212079,-1.120047
1779877162.595139742,-0.438749,17.574671,-1.120047
1779877162.715045452,-0.470748,17.573573,-1.117609
1779877163.194992542,-0.555477,17.596779,-1.112891
1779877163.294905663,-0.534145,17.608092,-1.114381
1779877163.355026007,-0.534145,17.608092,-1.114381
1779877163.374997854,-0.517746,17.621725,-1.115940
1779877163.454913139,-0.517746,17.621725,-1.115940
1779877163.874807358,-0.274269,17.700563,-1.132566
1779877163.954896927,-0.274269,17.700563,-1.132566
1779877164.174832582,-0.290376,17.737265,-1.132846
1779877165.594552040,-0.528402,17.766720,-1.113746
1779877165.674463987,-0.533899,17.774465,-1.113185
1779877165.794543266,-0.554305,17.767700,-1.112054
1779877167.574119568,-0.645115,17.700125,-1.106438
1779877167.634230852,-0.684480,17.680347,-1.103589
1779877168.034132004,-0.672870,17.666349,-1.102286
1779877168.134039164,-0.652650,17.672092,-1.103318
1779877168.154012442,-0.652660,17.672113,-1.103318
1779877168.173984766,-0.637761,17.680939,-1.103760
1779877168.953978300,-0.565674,17.738069,-1.113061
1779877169.053890228,-0.578440,17.737787,-1.113357
1779877169.213900566,-0.586221,17.741640,-1.112055
1779877169.953804255,-0.507582,17.702616,-1.116340
1779877170.853557348,-0.190237,17.741545,-1.146707
1779877171.393538713,0.201722,17.745888,-1.182721
1779877171.973330259,0.805404,17.685401,-1.237063
1779877172.033428907,0.805404,17.685401,-1.237063
1779877172.413360596,1.262374,17.627577,-1.279225
1779877172.753231764,1.610027,17.568810,-1.310627
1779877173.353123426,2.270745,17.420899,-1.372651
1779877174.233019590,3.092075,17.195316,-1.446619
1779877174.852866411,3.369164,17.125170,-1.473444
1779877175.092775583,3.471903,17.095394,-1.483354
1779877175.552793503,3.638829,17.034722,-1.496925
1779877175.572764158,3.675412,17.018187,-1.499740
1779877178.252153397,37.775862,18.840235,-1.516864
1779877178.452191830,3.812159,17.043058,-1.509683
1779877178.852049589,3.575982,17.162367,-1.486447
1779877179.012065887,3.375495,17.247347,-1.468655
1779877179.112135887,3.257223,17.298704,-1.458666
1779877179.172067642,3.257223,17.298704,-1.458666
1779877179.192041874,3.133890,17.342943,-1.448379
1779877179.231987953,3.133890,17.342943,-1.448379
1779877179.712034225,1.631288,17.757070,-1.325779
1779877179.891889095,1.503731,17.792874,-1.315839
1779877180.071859121,1.394157,17.819635,-1.307583
1779877180.271958113,0.455322,17.940120,-1.232855
1779877180.511814117,14.137964,23.067119,-1.218185
1779877180.611877918,0.120556,17.974626,-1.208082
1779877180.731729507,-0.018910,17.978739,-1.197475
1779877180.791849136,-0.176462,17.984212,-1.185446
1779877181.231765270,-0.948126,17.975574,-1.126908
1779877181.591743469,-1.803106,17.848207,-1.062101
1779877181.691650629,-2.035017,17.800623,-1.044633
1779877182.351539135,-3.411180,17.516577,-0.937930
1779877182.571521044,-3.932099,17.399969,-0.898792
1779877182.711451530,-4.457145,17.257532,-0.858971
1779877183.091462135,-5.467601,16.914499,-0.779964
1779877184.011214256,-7.248647,16.031994,-0.630918
1779877184.591061115,-7.782404,15.719526,-0.584777
1779877185.071110725,-7.867998,15.661502,-0.576884
1779877185.470921278,-8.124864,15.485951,-0.553151
1779877185.531039953,-8.192692,15.444771,-0.546713
1779877185.610970497,-8.244980,15.411495,-0.541387
1779877186.150819302,-8.461857,15.254296,-0.518580
1779877186.450880527,-8.652817,15.108179,-0.499618
1779877187.010691881,-9.236516,14.633507,-0.443493
1779877187.030688286,-9.236516,14.633507,-0.443493
1779877187.270664930,-9.452112,14.431676,-0.422066
1779877187.310620308,-9.566021,14.322529,-0.410591
1779877188.110563040,-10.546302,13.306484,-0.305755
1779877188.730438232,-11.328463,12.321556,-0.213140
1779877188.930408478,-11.579629,11.956041,-0.180564
1779877189.190289736,-11.952014,11.355132,-0.128773
1779877189.750269890,-12.513011,10.285810,-0.041326
1779877189.830185413,-12.610912,10.069267,-0.024057
1779877189.990176439,-12.793571,9.630378,0.010323
1779877190.090234041,-12.880758,9.405217,0.027716
1779877190.130209684,-12.880758,9.405217,0.027716
1779877190.150180578,-12.880758,9.405217,0.027716
1779877190.390117407,-13.135320,8.692623,0.082356
