timestamp,x,y,yaw
1779877201.668251753,-0.070917,4.430551,1.248496
1779877201.688241243,-0.070908,4.430579,1.247050
1779877201.708225489,-0.070900,4.430600,1.245566
1779877201.728200912,-0.070894,4.430616,1.244104
1779877201.748370886,-0.070890,4.430626,1.242589
1779877201.768342257,-0.070888,4.430629,1.241043
1779877201.788342714,-0.074361,4.433175,1.260785
1779877201.808308125,-0.074365,4.433163,1.259230
1779877201.828305721,-0.074370,4.433143,1.257662
1779877201.848309755,-0.074379,4.433115,1.256112
1779877201.868276119,-0.085720,4.438940,1.274540
1779877201.888279676,-0.085741,4.438864,1.273192
1779877201.908244848,-0.085769,4.438764,1.271963
1779877201.928253651,-0.085805,4.438639,1.270790
1779877201.948210716,-0.085849,4.438490,1.269656
1779877201.968185425,-0.073599,4.430320,1.273937
1779877201.988186836,-0.073663,4.430099,1.272997
1779877202.008329391,-0.073740,4.429840,1.272147
1779877202.028306007,-0.073827,4.429546,1.271410
1779877202.048295259,-0.073925,4.429216,1.270771
1779877202.068270683,-0.068420,4.424639,1.275352
1779877202.088280439,-0.068540,4.424236,1.274709
1779877202.108232021,-0.068670,4.423798,1.274074
1779877202.128211975,-0.068813,4.423323,1.273531
1779877202.148204088,-0.068966,4.422811,1.273043
1779877202.168178082,-0.073739,4.423073,1.295942
1779877202.188182116,-0.073907,4.422460,1.295556
1779877202.208146572,-0.074090,4.421798,1.295247
1779877202.228145123,-0.074288,4.421085,1.294913
1779877202.248118401,-0.074499,4.420322,1.294627
1779877202.268286705,-0.038860,4.404466,1.319365
1779877202.288265228,-0.039083,4.403576,1.319115
1779877202.308257103,-0.039323,4.402624,1.318783
1779877202.328232765,-0.039580,4.401610,1.318413
1779877202.348222733,-0.039852,4.400534,1.317847
1779877202.368195534,-0.040141,4.399403,1.317119
1779877202.388201237,-0.024992,4.393869,1.338215
1779877202.408195496,-0.025285,4.392618,1.337224
1779877202.428192377,-0.025592,4.391310,1.336027
1779877202.448164463,-0.025915,4.389948,1.334645
1779877202.468131065,-0.029217,4.389272,1.351780
1779877202.488136768,-0.029539,4.387815,1.350144
1779877202.508131266,-0.029873,4.386317,1.348405
1779877202.528105021,-0.030219,4.384777,1.346591
1779877202.548095465,-0.030579,4.383195,1.344663
1779877202.568098783,-0.028053,4.379750,1.360248
1779877202.588071585,-0.028399,4.378133,1.358196
1779877202.608236790,-0.028755,4.376487,1.356076
1779877202.628208637,-0.029115,4.374844,1.353987
1779877202.648207664,-0.029481,4.373186,1.351921
1779877202.668175936,-0.025690,4.369611,1.366393
1779877202.688151598,-0.026028,4.368000,1.364452
1779877202.708146811,-0.026364,4.366415,1.362529
1779877202.728177547,-0.026698,4.364855,1.360654
1779877202.748112917,-0.027027,4.363330,1.358839
1779877202.768111944,-0.021235,4.360227,1.371696
1779877202.788125277,-0.021533,4.358777,1.369848
1779877202.808087111,-0.021824,4.357375,1.368044
1779877202.828063250,-0.022108,4.356015,1.366257
1779877202.848062515,-0.022386,4.354697,1.364452
1779877202.868020773,-0.022713,4.354468,1.376879
1779877202.888182640,-0.022967,4.353190,1.375128
1779877202.908162594,-0.023216,4.351950,1.373430
1779877202.928145170,-0.023462,4.350736,1.371664
1779877202.948112726,-0.023705,4.349548,1.369885
1779877202.968107462,-0.023948,4.348361,1.368132
1779877202.988085985,-0.019966,4.346278,1.379314
1779877203.008049011,-0.020198,4.345086,1.377547
1779877203.028048992,-0.020433,4.343891,1.375853
1779877203.048031092,-0.020670,4.342696,1.374237
1779877203.067990780,-0.020910,4.341487,1.372693
1779877203.088143826,-0.024299,4.337791,1.383267
1779877203.108133793,-0.024536,4.336543,1.381848
1779877203.128110886,-0.024777,4.335278,1.380503
1779877203.148102760,-0.025024,4.333994,1.379155
1779877203.168071032,-0.022737,4.329272,1.388846
1779877203.188060045,-0.022979,4.327952,1.387540
