# index filename x y z qw qx qy qz
128 128.pcd 46.8855 0.302587 -0.0370447 0.999417 -0.000613699 -0.00616796 0.0335702
129 129.pcd 47.3995 0.343506 -0.0369457 0.99945 -0.000151052 -0.00573966 0.0326742
130 130.pcd 47.9102 0.375796 -0.0374165 0.999826 -0.00214906 -0.00556518 0.0176559
131 131.pcd 48.4185 0.398242 -0.0373355 0.999844 -0.0031369 -0.00652909 0.0161312
132 132.pcd 48.9375 0.42129 -0.0384915 0.999865 -0.00333514 -0.0057748 0.0149857
133 133.pcd 49.4571 0.446619 -0.0388401 0.999703 -0.00356924 -0.00666608 0.0231657
134 134.pcd 49.974 0.473231 -0.0392102 0.999644 -0.00341515 -0.00639513 0.0256674
135 135.pcd 50.4891 0.493305 -0.039896 0.999964 -0.00342912 -0.00715525 0.00298592
136 136.pcd 50.9956 0.490008 -0.0431996 0.999978 -0.00390755 -0.00542272 0.000557728
137 137.pcd 51.4966 0.493931 -0.0436986 0.999976 -0.00389504 -0.00568313 -0.000856052
138 138.pcd 52.022 0.488084 -0.0451894 0.999973 -0.00413824 -0.00544544 -0.00270346
139 139.pcd 52.5435 0.489069 -0.0468687 0.999971 -0.00442117 -0.00486493 -0.00381755
140 140.pcd 53.0591 0.485847 -0.048435 0.999958 -0.00522743 -0.00516861 -0.00547575
141 141.pcd 53.5635 0.481036 -0.0511973 0.999944 -0.00676443 -0.0043333 -0.00685105
142 142.pcd 54.0721 0.474379 -0.0535533 0.999923 -0.00788635 -0.00509677 -0.00815155
143 143.pcd 54.5723 0.475334 -0.0559151 0.999891 -0.00772174 -0.00613024 -0.0109821
144 144.pcd 55.0935 0.467069 -0.060968 0.999874 -0.00830967 -0.00509303 -0.0125259
145 145.pcd 55.6138 0.459428 -0.0656433 0.999846 -0.00756107 -0.00579359 -0.0147254
146 146.pcd 56.1378 0.446879 -0.0669848 0.99981 -0.0085046 -0.00767086 -0.0157807
147 147.pcd 56.6564 0.439697 -0.0691602 0.999886 -0.00758001 -0.00701149 -0.0110533
148 148.pcd 57.1675 0.431521 -0.0715025 0.999886 -0.00696136 -0.00722869 -0.0112978
149 149.pcd 57.6925 0.42158 -0.0724967 0.999869 -0.00690955 -0.0070482 -0.0128531
150 150.pcd 58.1958 0.410923 -0.0726851 0.999842 -0.00674204 -0.00807704 -0.0142939
151 151.pcd 58.7012 0.399407 -0.0729672 0.999829 -0.0066912 -0.00870445 -0.0148831
152 152.pcd 59.2137 0.406146 -0.0747673 0.99989 -0.00757042 -0.00727016 0.0104616
153 153.pcd 59.7367 0.421907 -0.0757287 0.999893 -0.00640249 -0.00821687 0.0103059
154 154.pcd 60.2479 0.435905 -0.0751471 0.999937 -0.00554039 -0.00957875 0.00191322
155 155.pcd 60.7662 0.443757 -0.0725785 0.999925 -0.00490004 -0.0111371 0.00124103
156 156.pcd 61.2684 0.443777 -0.0727181 0.999929 -0.00544355 -0.00924791 0.00516524
157 157.pcd 61.771 0.449829 -0.0709581 0.999915 -0.0068159 -0.00909715 0.00638574
158 158.pcd 62.292 0.443722 -0.0716014 0.999899 -0.00670035 -0.00908201 -0.00860092
159 159.pcd 62.8154 0.436267 -0.0718468 0.999864 -0.00703006 -0.00839025 -0.0123509
160 160.pcd 63.3407 0.426089 -0.0721158 0.999858 -0.0061977 -0.00903432 -0.0127915
161 161.pcd 63.848 0.413566 -0.0715067 0.999827 -0.00674244 -0.00994001 -0.014196
162 162.pcd 64.3678 0.404584 -0.0702196 0.999809 -0.00640242 -0.00961639 -0.015773
163 163.pcd 64.8832 0.38294 -0.069427 0.999451 -0.00699087 -0.010123 -0.0307618
164 164.pcd 65.4101 0.359716 -0.0684168 0.999527 -0.00591978 -0.00938154 -0.0286673
165 165.pcd 65.9154 0.342732 -0.0663979 0.999562 -0.00521423 -0.010848 -0.0270432
166 166.pcd 66.4318 0.320587 -0.0636622 0.999641 -0.00499164 -0.0112473 -0.0237801
167 167.pcd 66.9486 0.299291 -0.060584 0.999534 -0.00487173 -0.0102379 -0.0283239
168 168.pcd 67.4573 0.277237 -0.0603139 0.999511 -0.00392583 -0.0103482 -0.0292545
